key,name,system,energy_TeV,centrality,observable,x,xlow,xhigh,y,stat_minus,stat_plus,sys_minus,sys_plus,source_row,table_doi
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.475,0.45,0.5,0.22552,0.0034929,0.0034929,0.010668,0.010668,5,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.525,0.5,0.55,0.24973,0.0045632,0.0045632,0.013888,0.013888,6,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.575,0.55,0.6,0.26311,0.0065364,0.0065364,0.016944,0.016944,7,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.625,0.6,0.65,0.27936,0.011966,0.011966,0.022327,0.022327,8,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.675,0.65,0.7,0.29112,0.0025357,0.0025357,0.012065,0.012065,9,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.725,0.7,0.75,0.31431,0.0026195,0.0026195,0.012938,0.012938,10,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.775,0.75,0.8,0.3383,0.002789,0.002789,0.01371,0.01371,11,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.825,0.8,0.85,0.35921,0.0030257,0.0030257,0.014685,0.014685,12,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.875,0.85,0.9,0.38005,0.0032744,0.0032744,0.015587,0.015587,13,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.925,0.9,0.95,0.39742,0.0035853,0.0035853,0.016359,0.016359,14,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,0.975,0.95,1.0,0.41873,0.0039034,0.0039034,0.016975,0.016975,15,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.05,1.0,1.1,0.43975,0.0033612,0.0033612,0.017758,0.017758,16,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.15,1.1,1.2,0.46333,0.0037675,0.0037675,0.019103,0.019103,17,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.25,1.2,1.3,0.48289,0.0044379,0.0044379,0.020967,0.020967,18,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.35,1.3,1.4,0.49443,0.0048893,0.0048893,0.021566,0.021566,19,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.45,1.4,1.5,0.50469,0.00521,0.00521,0.021565,0.021565,20,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.55,1.5,1.6,0.50609,0.0056128,0.0056128,0.021307,0.021307,21,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.65,1.6,1.7,0.50661,0.0061059,0.0061059,0.021068,0.021068,22,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.75,1.7,1.8,0.50332,0.0066805,0.0066805,0.019886,0.019886,23,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.85,1.8,1.9,0.48793,0.0089699,0.0089699,0.023036,0.023036,24,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,1.95,1.9,2.0,0.48453,0.011384,0.011384,0.025938,0.025938,25,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,2.1,2.0,2.2,0.47512,0.011929,0.011929,0.028836,0.028836,26,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,2.3,2.2,2.4,0.44263,0.014336,0.014336,0.029354,0.029354,27,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,2.5,2.4,2.6,0.42438,0.014774,0.014774,0.027066,0.027066,28,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,2.7,2.6,2.8,0.39287,0.014782,0.014782,0.024691,0.024691,29,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,2.9,2.8,3.0,0.36131,0.016452,0.016452,0.024413,0.024413,30,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,3.1,3.0,3.2,0.34553,0.013075,0.013075,0.026721,0.026721,31,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,3.3,3.2,3.4,0.30557,0.011578,0.011578,0.024669,0.024669,32,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,3.5,3.4,3.6,0.27445,0.010866,0.010866,0.024806,0.024806,33,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,3.7,3.6,3.8,0.24838,0.0099606,0.0099606,0.023428,0.023428,34,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,3.9,3.8,4.0,0.22692,0.0087504,0.0087504,0.022396,0.022396,35,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,4.25,4.0,4.5,0.18987,0.0066351,0.0066351,0.019851,0.019851,36,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,4.75,4.5,5.0,0.15163,0.0044138,0.0044138,0.015067,0.015067,37,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,5.25,5.0,5.5,0.13244,0.0035068,0.0035068,0.012256,0.012256,38,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,5.75,5.5,6.0,0.12464,0.0033281,0.0033281,0.010826,0.010826,39,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,6.25,6.0,6.5,0.12477,0.0035834,0.0035834,0.012408,0.012408,40,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,6.75,6.5,7.0,0.12505,0.0040134,0.0040134,0.012233,0.012233,41,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,7.5,7.0,8.0,0.13529,0.0036348,0.0036348,0.013584,0.013584,42,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,8.5,8.0,9.0,0.14313,0.0052944,0.0052944,0.017303,0.017303,43,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,9.5,9.0,10.0,0.16112,0.0077889,0.0077889,0.019554,0.019554,44,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,10.5,10.0,11.0,0.17422,0.010498,0.010498,0.021429,0.021429,45,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,11.5,11.0,12.0,0.17566,0.013125,0.013125,0.021714,0.021714,46,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,12.5,12.0,13.0,0.19102,0.019047,0.019047,0.023767,0.023767,47,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,13.5,13.0,14.0,0.21041,0.026699,0.026699,0.02635,0.02635,48,10.17182/hepdata.104923.v1/t16
pb_k,K±,Pb-Pb,5.02,0–5%,RAA,14.5,14.0,15.0,0.21793,0.032254,0.032254,0.027483,0.027483,49,10.17182/hepdata.104923.v1/t16
